trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.9999755001000415}",25,0,-110.34458619001357,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.65, 'e': 0.9999020016006562}",20,0,-143.9775461363428,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.65, 'e': 0.9997795081032559}",20,0,-85.6330912298364,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.65, 'e': 0.9996080256099974}",20,0,-160.90490008889023,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.65, 'e': 0.9993875625234886}",35,0,-119.86554510658863,"{0: 25, 1: 3, 2: 3, 3: 3, 4: 1}",0
6,False,"{'a': 0.65, 'e': 0.9991181296463766}",20,0,-109.70558194332564,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.65, 'e': 0.9987997401808185}",20,0,-72.84842478155365,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.65, 'e': 0.9984324097278344}",30,0,-77.60156274890403,"{0: 21, 1: 6, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.65, 'e': 0.9980161562865429}",30,0,-139.54163098545388,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 1}",0
10,False,"{'a': 0.65, 'e': 0.9975510002532796}",25,0,-139.49808578401377,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.65, 'e': 0.9970369644205967}",35,0,-193.43195362084458,"{0: 19, 1: 3, 2: 10, 3: 1, 4: 2}",0
12,False,"{'a': 0.65, 'e': 0.9964740739761475}",25,3,-120.71753523584108,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 2}",1
13,False,"{'a': 0.65, 'e': 0.9958623565014509}",30,11,-82.68793417991893,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 0}",1
14,False,"{'a': 0.65, 'e': 0.995201841970541}",20,0,-28.281975179371127,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.65, 'e': 0.9944925627484974}",25,0,-109.3220051878523,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.65, 'e': 0.9937345535898603}",25,0,-300.121527921016,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 5}",0
17,False,"{'a': 0.65, 'e': 0.9929278516369265}",25,0,-41.24937014330575,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.65, 'e': 0.9920724964179307}",30,0,-244.08632892669016,"{0: 15, 1: 1, 2: 10, 3: 0, 4: 4}",0
19,False,"{'a': 0.65, 'e': 0.9911685298451072}",20,0,-100.55799790201226,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.65, 'e': 0.9902159962126371}",20,0,-134.6613638063693,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
21,False,"{'a': 0.65, 'e': 0.9892149421944781}",20,0,-131.1583439231795,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.65, 'e': 0.9881654168420767}",30,0,-127.71570605883683,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
23,False,"{'a': 0.65, 'e': 0.9870674715819652}",20,0,-91.3359570687164,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
24,False,"{'a': 0.65, 'e': 0.9859211602132415}",30,0,-83.56523324211281,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0.65, 'e': 0.9847265389049334}",25,0,-124.12858617404889,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.65, 'e': 0.9834836661932461}",25,0,-204.24666109043727,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
27,False,"{'a': 0.65, 'e': 0.9821926029786937}",25,0,-146.82574473619417,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.65, 'e': 0.9808534125231153}",25,0,-119.62368767622523,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
29,False,"{'a': 0.65, 'e': 0.9794661604465754}",20,0,-110.97194100624395,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
30,False,"{'a': 0.65, 'e': 0.9780309147241483}",30,0,-172.01004766258689,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
