trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.88850253825969,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-102.30098430494384,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.06728745824427,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.10866784644872,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.0366091042437,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.99621379409987,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.8814963528906,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.85171108096578,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,12,-14.250859083218433,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.5665658037897,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.00558832667229,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-183.98134550636615,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.45498194116266,"{0: 6, 1: 6, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-12.156452686922828,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.71893382362174,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.32071078637443,"{0: 13, 1: 5, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.98947322299485,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.06437336385625,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.3695808664379,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,8,-17.99931633752849,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.65460875570557,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-139.3577210291452,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,11,-56.73626945008256,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.15037608624738,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-137.97274480682762,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.64059100039161,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.6611262835165,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-130.5304854420896,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-161.5963323162382,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-343.11630807326486,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 6}",0
